id,parent_id,name_ar,name_en,name_bn,name_de,name_es,name_fr,name_id,name_ml,name_pt,name_ru,name_ta,name_tr,name_ur,name_zh,name_hi,name_it,name_fa,name_am,name_az,name_bs,name_cs,name_ha,name_ku,name_nl,name_ps,name_ro,name_si,name_so,name_sq,name_sv,name_sw,name_tg,name_th,name_ug,name_uz,name_vi,name_yo,slug
1977,137,قضاء الصيام,Fasting Missed Days of Ramadaan,,Fasting Missed Days of Ramadaan,Fasting Missed Days of Ramadaan,Fasting Missed Days of Ramadaan,Fasting Missed Days of Ramadaan,,,Fasting Missed Days of Ramadaan,,Fasting Missed Days of Ramadaan,Fasting Missed Days of Ramadaan,,,,Fasting Missed Days of Ramadaan,,,,,,,,,,,,,,,,,,,,,fasting-missed-days-of-ramadaan
1978,137,صيام أهل الأعذار,Fasting of People with Excuses,,Fasting of People with Excuses,Fasting of People with Excuses,Fasting of People with Excuses,Fasting of People with Excuses,,,Fasting of People with Excuses,,Fasting of People with Excuses,Fasting of People with Excuses,,,,Fasting of People with Excuses,,,,,,,,,,,,,,,,,,,,,fasting-of-people-with-excuses
1979,137,مفسدات الصيام,Nullifiers of Fasting,,Nullifiers of Fasting,Nullifiers of Fasting,Nullifiers of Fasting,Nullifiers of Fasting,,,Nullifiers of Fasting,,Nullifiers of Fasting,Nullifiers of Fasting,,,,Nullifiers of Fasting,,,,,,,,,,,,,,,,,,,,,nullifiers-of-fasting
1980,137,ما يجب على الصائم,Fasting Obligations,,Fasting Obligations,Fasting Obligations,Fasting Obligations,Fasting Obligations,,,Fasting Obligations,,Fasting Obligations,Fasting Obligations,,,,Fasting Obligations,,,,,,,,,,,,,,,,,,,,,fasting-obligations
1981,137,ما يجوز للصائم,What is Permissible for the Fasting Person,,What is Permissible for the Fasting Person,What is Permissible for the Fasting Person,What is Permissible for the Fasting Person,What is Permissible for the Fasting Person,,,What is Permissible for the Fasting Person,,What is Permissible for the Fasting Person,What is Permissible for the Fasting Person,,,,What is Permissible for the Fasting Person,,,,,,,,,,,,,,,,,,,,,what-is-permissible-for-the-fasting-person
1982,137,ما يحرم على الصائم,Fasting Prohibitions,,Fasting Prohibitions,Fasting Prohibitions,Fasting Prohibitions,Fasting Prohibitions,,,Fasting Prohibitions,,Fasting Prohibitions,Fasting Prohibitions,,,,Fasting Prohibitions,,,,,,,,,,,,,,,,,,,,,fasting-prohibitions
1983,137,ما يكره للصائم,What is Disliked for the Fasting Person,,What is Disliked for the Fasting Person,What is Disliked for the Fasting Person,What is Disliked for the Fasting Person,What is Disliked for the Fasting Person,,,What is Disliked for the Fasting Person,,What is Disliked for the Fasting Person,What is Disliked for the Fasting Person,,,,What is Disliked for the Fasting Person,,,,,,,,,,,,,,,,,,,,,what-is-disliked-for-the-fasting-person
1984,137,صيام التطوع,Voluntary Fasting,,Voluntary Fasting,Voluntary Fasting,Voluntary Fasting,Voluntary Fasting,,,Voluntary Fasting,,Voluntary Fasting,Voluntary Fasting,,,,Voluntary Fasting,,,,,,,,,,,,,,,,,,,,,voluntary-fasting
1985,137,الاعتكاف,Seclusion for Worship in Ramadaan (I‘tikaaf),,Seclusion for Worship in Ramadaan (I‘tikaaf),Seclusion for Worship in Ramadaan (I‘tikaaf),Seclusion for Worship in Ramadaan (I‘tikaaf),Seclusion for Worship in Ramadaan (I‘tikaaf),,,Seclusion for Worship in Ramadaan (I‘tikaaf),,Seclusion for Worship in Ramadaan (I‘tikaaf),Seclusion for Worship in Ramadaan (I‘tikaaf),,,,Seclusion for Worship in Ramadaan (I‘tikaaf),,,,,,,,,,,,,,,,,,,,,seclusion-for-worship-in-ramadaan-i‘tikaaf
1986,137,العشر الأواخر من رمضان,Last Ten Days of Ramadaan,,Last Ten Days of Ramadaan,Last Ten Days of Ramadaan,Last Ten Days of Ramadaan,Last Ten Days of Ramadaan,,,Last Ten Days of Ramadaan,,Last Ten Days of Ramadaan,Last Ten Days of Ramadaan,,,,Last Ten Days of Ramadaan,,,,,,,,,,,,,,,,,,,,,last-ten-days-of-ramadaan
