id,parent_id,name_ar,name_en,name_bn,name_de,name_es,name_fr,name_id,name_ml,name_pt,name_ru,name_ta,name_tr,name_ur,name_zh,name_hi,name_it,name_fa,name_am,name_az,name_bs,name_cs,name_ha,name_ku,name_nl,name_ps,name_ro,name_si,name_so,name_sq,name_sv,name_sw,name_tg,name_th,name_ug,name_uz,name_vi,name_yo,slug
260,132,الاجتهاد والتقليد,Personal Reasoning and Imitation,ইজতিহাদ ও তাকলীদ,Personal Reasoning and Imitation,Al-iytihad y al-taqlid (esfuerzo de comprensión e imitación).,L'effort (Al Ijtihâd) et l'imitation ou le conformisme (At Taqlîd),Ijtihad dan Taklid,,O esforço intelectual e o seguimento,Иджтихад и подражание,,İçtihat ve Taklit,اجتہاد اور تقلید,创新和守旧,इजतिहाद तथा तक़लीद,,اجتهاد و تقليد,,,Idžtihad i taklid,,Ijitihadi da kuma Taqalidi,,,,,,,,,,,,,,,,personal-reasoning-and-imitation-en
261,132,التعارض والترجيح,Divergence and Preponderance,বিরোধ ও প্রাধান্য দান,Widersprüche und Abwägung,Al-ta’arud y al-tarjih (contradicción y preferencia).,L'opposition (At Ta'ârudh) et la préférence (At Tarjîh),Ta'āruḍ dan Tarjih,"തെളിവുകളിൽ പരസ്പര വിയോജിപ്പ് പ്രകടമാകലും, അവയിൽ തിരഞ്ഞെടുപ്പ് നടത്തേണ്ട രൂപവും",A colixão e a última decisão,Юридическая коллизия и выбор наиболее весомого довода,முரண்பாடும் பலமான கருத்தைத் தெரிவு செய்தலும்,Çelişki ve Tercih,تعارض اور ترجیح,矛盾和侧重,दो प्रमाणों के बीच टकराव तथा तरजीह,,تعارض و ترجيح,መጣረስና ሚዛን የደፋውን መግለፅ,Ziddiyyət və tərcih etmək,Kontradiktornost i protežiranje dokaza,Ta’árud a tardžíh(hledání správného názoru),Cinkaro da kuma zavar wanda ya fi inganci,دژیەکی وبژاردن,Tegenspraak en afweging,تعارض او ترجیح,Divergențe și preponderențe,එකිනෙකට නොගැළපීම හා බහුතර යෝග්ය මතය,,Et-tearud uet-terxhih (kundërthënia dhe përzgjedhja e mendimit më të saktë),Oförenlighet och referens,Kukinzana na Kufanya kuwa ni sahihi.,Таъоруз ва тарҷиҳ,การย้อยแย้งกันของหลักฐานและการพิจารณาให้น้ำหนักของหลักฐาน,زىتلىق ۋە كۇچلاندۇرۇش,Зиддият ва таржиҳ (қувватли далил танлаш),Ta'arudh và Tarjeeh,,divergence-and-preponderance-en
262,132,مقاصد الشريعة,Shariah Objectives,শরীয়তের উদ্দেশ্যাবলি,Maqasid al-Scharia - Ziele der islamischen Gesetzgebungen,Los propósito de la Shar’iah.,Les objectifs de la législation islamique (Maqâsid Ashari'ah),Tujuan-tujuan Syari'at,(ഇസ്ലാമിക) മതനിയമങ്ങളുടെ ഉദ്ദേശലക്ഷ്യങ്ങൾ,Os objectivos da shariah,Цели Шариата,ஷரீஆவின் இலக்குகள்,Makasıdu'ş-Şeria (Dini Maksatlar),مقاصدِ شریعت,教法的目的,शरीयत के उद्देश्य,Le finalità della giurisprudenza islamica,مقصود هاى شريعت,ሸሪዓዊ አላማዎች,Şəri məqsədlər,Intencije šerijata,Islámské cíle,Manufofin Shari'a,مەبەستەکانی شەریعەت,Doelstellingen van de sharia,د شریعت موخې (مقصدونه),Obiectivele Șari'a,ෂරීආ නීතියේ අපේක්ෂාවන්,Qasadka Shareecada,Objektivat e sheriatit,Religionens mål,Makusudio ya Sheria.,Мақосиди шариат,เจตนารมณ์แห่งหลักการของศาสนา,شەرىئەتنىڭ مەقسىدى,Шариат мақсадлари,Các mục đích của luật Shari'ah,Awọn erongba Sharia (ofin ẹsin),shariah-objectives-en
265,5,الفضائل,Virtues,ফাযায়েল,Vorzügliche Dinge,Virtudes.,Les mérites,Keutamaan,ശ്രേഷ്ഠതകൾ,As virtudes,Достоинства различных дел,சிறப்புகள்,Faziletler,فضائل,美德,फ़ज़ीलतें,I meriti,فضائل,ደረጃ ያላቸው ስራዎች,Fəzilətlər,Odlike,Přednosti,Falaloli,فەزڵەکان,Deugden,فضیلتونه,Virtuțile,මහිමයන්,Fadaa`isha,Vlera,Förträffligheter,Mambo yaliyo bora.,Фазоил,การงานที่ดี,پەزىلەتلەر,Фазоил (фазилатлар),Các ân phúc,Awọn iwa ọlọla,virtues-en
266,5,فقه الأخلاق,Jurisprudence of Ethics,আখলাকের ফিকহ,Das Verständis von gutem Charakter,Fiqah de los comportamientos; etiquetas; moralidad.,La jurisprudence relatives aux vertus,Fikih Akhlak,സ്വഭാവമര്യാദകൾ,A jurisprudência de atitudes,Фикх морально-этических норм,நற்குணத்தின் சட்டதிட்டங்கள்,Ahlak Fıkhı,علمِ اخلاق,道德的教法,सद्व्यवहार पर आधारित फ़िक़्ह,La giurisprudenza dell'etica,فقه اخلاقى,ስነ-ምግባራዊ ፊቅህ,Etik əhkamlar,Razumijevanje lijepog ponašanja,Věda týkající se dobrých mravů,Fiqihun Halaye,فیقهی ڕەوشتەکان,Ethiek van de moraal,د أخلاقو فقه,Jurisprudența calităților morale,සදාචාරයේ නීති විද්යාව,Fiqiga Akhlaaqda,Fikhu i etikës,Rättslära om uppförande,Fiq'hi ya Tabia.,Фиқҳи ахлоқ,ความเข้าใจเกี่ยวกับจรรยามารยาท,ئەخلاقنى پىقھىسى,Ахлоқлар фиқҳи,Giáo luật thực hành về đạo đức,Imọ agbọye ẹsin nípa awọn iwa,jurisprudence-of-ethics-en
267,5,الآداب الشرعية,Shariah-approved Manners,শর‘ঈ আদব,Gutes Verhalten nach den Maßstäben der islamischen Gesetzgebung,Las etiquetas de la Shar’iah.,La bienséance islamique,Adab-adab Syar'i,മതപരമായ മര്യാദകൾ,Etiquetas relacionadas com a shariah,Шариатские нормы этикета,மார்க்க ஒழுங்குகள்,Dinî Adaplar,شرعی آداب,合法的礼节,शरई आदाब,L'etichetta islamica,آداب شرعى,ሸሪዓዊ ስነ-ስረዓቶች,Şəri ədəblər,Šerjiatski adabi (način ponašanja),Islámské správné chování,Ladaban Shari'a,ئادابە شەرعییەکان,Islamitische ethiek,شرعي آداب,Manierele acceptate de legea islamică,ආගමික විනය,Aadaabta Sharciga ah,Rregullat e mirësjelljes,Islamiska uppföranden,Adabu za kisheria.,Одоби шаръӣ,มารยาทตามบทบัญญัติ,شەرئىي ئەدەپلىرى,Шаръий одоблар,Các nghi thức pháp lý,Awọn ẹkọ ofin sharia,shariah-approved-manners-en
268,5,فقه الأدعية والأذكار,Jurisprudence of Supplications and Remembrance of Allah,দো‘আ ও যিকিরসমূহের ফিকহ,Das Verständnis wie man Allah mit Bittgebeten anruft und Ihm gedenkt,Fiqh de las súplicas y Dhikir.,La jurisrudence des invocations et des rappels (Fiqh Al Ad'iyyah wal Adhkâr),Fikih Doa dan Zikir,പ്രാർത്ഥനകളുടെയും പ്രകീർത്തനങ്ങളുടെയും ആശയം ഗ്രഹിക്കൽ,Jurisprudência de súplicas e recordações,Правила обращения к Аллаху с мольбами и поминания Аллаха,பிரார்த்தனைகள் திக்ருகளின் சட்டங்கள்,Dua ve Zikirler Fıkhı,فقہ الادعیہ والاذکار,祈祷和提醒的教法,दुआओं तथा अज़कार पर आधारित फ़िक़्ह,La giurisprudenza delle invocazioni e della menzione di Allah,فقه دعاها و ذكرها,የዱዓና አዝካር ፊቅህ,Dua və zikirlərə aid əhkamlar,Razumijevanje dova i zikrova,Věda o prosbách(dua) a dhikru,Fiqihun Addu'o'i da Zikiri,فیقهی نزا وزیکرەکان,Juridische aspecten van smeekbeden en gedenken van Allah,د دعاګانو او اذکارو فقه,Jurisprudența rugilor și pomenirilor,මෙනෙහි කිරීම් හා ප්රාර්ථනාවන්හි නීති විද්යාව,Fiqiga Ducada iyo Adkaarta,Fikhu i dhikrit dhe duave,Åkallans och åminnelsens rättslära,Fiq'hi yaDua na Dhikri mbali mbali.,Фиқҳи дуоҳо ва зикрҳо,ความเข้าใจเกี่ยวกับดุอาอ์,دۇئا ۋە زىكىرلەرپىقھىسى,Дуо ва зикрлар фиқҳи,Giáo luật thực hành về việc cầu nguyện và tụng niệm,Agbọye awọn adua ati awọn ir,jurisprudence-of-supplications-and-remembrance-of-allah-en
269,5,الرقائق والمواعظ,Heart-Softeners and Sermons,কোমলতা আনয়ণকারী ও উপদেশাবলী সমৃদ্ধ বিষয়সমূহ,"Dinge, die einem das Herz erweichen und einen ermahnen",Ar-raqayiq wa al-mawa’iz (título de un libro).,Les sensibilités et les sermons (Ar Raqâ'iq wal Mawâ'idh),Ar-Raqāiq dan Nasihat,"ഹൃദയത്തെ നിർമ്മലാക്കുന്ന വചനങ്ങളും, മതപരമായ ഉപദേശനിർദേശങ്ങളും",Conselhos de amolecimento do coração,Смягчение сердец и увещания,உள்ளத்தை உருக்கும் உபதேசங்கள்,Rekaik ve Öğütler,دل کو نرم کرنے والی باتیں اور مواعظ,怜悯和训戒,दिलों को पिघलाने वाली बातें और नसीहतें,Le esortazioni e le ammonizioni,حرف هاى زيبا و موعظه ها,ቀልብን አርጣቢ ምክሮችና ተግሳጾች,İbrətamiz nəsihətlər və moizələr,Poučna kazivanja i savjeti,Kázání a napomínání,Faxakarwa da Wa’azozi,دڵ نەرمکارەکان وئامۆژگارییەکان,Spirituele lessen en preken,زړه نرموونکي بیانونه او نصیحتونه,Atenționări blânde și predici,මාර්ගෝපදේශ හා උපදෙස්,Wacdiga iyo Waanacada,Zbutja e zemrave (er-rakaik) dhe këshillat,Själaföda och påminnelser,Tungo zenye kulainisha moyo na mawaidha,Имониёт ва пандҳо,การใช้คำพูดที่สุภาพและการตักเตือน,ۋەز-نەسىھەتلەر,Латиф сўзлар ва маърузалар,Lời khuyên răn,Awọn ọrọ ti maa n rọ emi ati awọn isiti,heart-softeners-and-sermons-en
270,265,فضل العلم,Excellence of Knowledge,ইলমের ফযীলত,Die besondere Bedeutung des Wissens,La virtud del conocimiento.,Le mérite de la science,Keutamaan Ilmu,വിജ്ഞാനത്തിൻ്റെ ശ്രേഷ്ഠത,Virtudes do conhecimento,Достоинство шариатского знания,அறிவின் மகிமை,İlmin Fazileti,علم کی فضیلت,知识的尊贵,ज्ञान तथा विद्या की फ़ज़ीलत,Il merito della conoscenza,فضل علم,የእውቀት ትሩፋት,Elmin fəziləti,Odlike znanja,Přednosti(užitek) vědění,Falalar Ilimi,فەزڵی زانستی شەرعی,Het belang van kennis,د علم فضیلت,Excelența cunoașterii,ශිල්පය හැදෑරීමේ මහිමය,Fadliga Cilmiga,Vlera e dijes,Kunskapens dygder,Ubora wa Elimu.,Фазли илм,ความประเสริฐของความรู้,ئىلىمنىڭ پەزىلىتى,Илм фазли,Ân phúc của kiến thức,Ọla ti n bẹ fun imọ,excellence-of-knowledge-en
271,265,فضائل التوحيد,Excellence of Monotheism,তাওহীদের ফযীলত,Die besondere Bedeutung des Tauhid - des EIngottglaubens,La virtud de la Unicidad.,Les mérites de l'unicité (Fadhâ'il At Tawhid),Keutamaan Tauhid,ഏകദൈവാരാധനയുടെ ശ്രേഷ്ഠത,Virtudes da Unicidade,Достоинства единобожия,ஏகத்துவத்தின் மகிமைகள்,Tevhidin Faziletleri,توحید کے فضائل,认主独一的尊贵,तौहीद (एकेश्वरवाद) की फ़ज़ीलतें,I meriti della fede nell'unicità di Allah,فضيلت هاى توحيد,የተውሒድ ትሩፋቶች,Tövhidin fəziləti,Odlike tevhida,Přednosti(užitek) Tawhídu,Falalar Tauhidi,فەزڵی تەوحید (یەک خوا پەرستی),De deugden van monotheïsme,د توحید فضیلت,Excelența monoteismului,ඒකීයකරණයේ මහිමයන්,Fadliga Towxiidka,Vlera e teuhidit,Monoteismens dygder,Ubora wa Tauhiid.,Фазоили тавҳид,ความประเสริฐของเตาฮีด,تەۋھىدنىڭ پەزىلىتى,Тавҳид фазли,Ân phúc của thuyết độc thần,Awọn ọla ti n bẹ fun mimu Ọlọhun ni ọkan ṣoṣo,excellence-of-monotheism-en
272,265,فضائل القرآن الكريم,Merits of the Noble Qur'an,আল-কুরআনুল কারীমের ফযীলত,Die besondere Bedeutung des Korans,La virtud del Sagrado Corán.,Les mérites du Noble Coran,Keutamaan Al-Qur'ān Al-Karīm,വിശുദ്ധ ഖുർആനിൻ്റെ ശ്രേഷ്ഠതകൾ,Virtudes do Nobre Qur'an,Достоинства Священного Корана,அல்குர்ஆனிக் சிறப்புகள்,Kur'an-ı Kerim'in Faziletleri,قرآن کریم کے فضائل,《古兰经》的尊贵,पवित्र क़ुरआन की फ़ज़ीलतें,I meriti riguardanti il Nobile Corano,فضيلت هاى قرآن كريم,የተከበረው ቁርአን ትሩፋቶች,Qurani-Kərimin fəziləti,Odlike Kur'ana,Přednosti(užitek) Vznešeného Koránu,Falalar al-qur'ani Maigirma,فەزڵی قورئانی پیرۆز,De deugden van de Heilige Koran,د قرآن کریم فضیلت,Excelența Nobilului Coran,ශුද්ධ වූ අල්කුර්ආනයෙහි මහිමයන්,Fadliga quraanka kariimka ah,Vlera e Kuranit fisnik,Koranens dygder,Ubora wa Qur'an tukufu.,Фазоили Қуръони карим,ความประเสริฐของอัลกุรอาน อัลกะรีม,قۇرئان كىرىمىڭ پەزىلىتى,Қуръони Карим фазли,Ân phúc của Kinh Qur'an,Awọn ọla ti n bẹ fun al-Quraani alapọnle,merits-of-the-noble-qur'an-en
273,265,فضائل بر الوالدين,Merits of Being Dutiful to One's Parents,পিতা-মাতার সাথে সদ্ব্যবহারের ফযীলত,Die besondere Bedeutung die Eltern zu ehren,La virtud del respeto a los padres.,Les mérites de la piété filiale,Keutamaan Berbakti Pada Kedua Orang Tua,മാതാപിതാക്കൾക്ക് നന്മ ചെയ്യുന്നതിൻ്റെ ശ്രേഷ്ഠതകൾ,Virtudes de obediência aos pais,Достоинства почитания родителей,பெற்றோருக்குப் பணிவிடைய செய்வதன் சிறப்பு,Ana-Babaya İyilik Yapmanın Faziletleri,والدین کی فرماں برداری کے فضائل,孝敬父母的尊贵,माता-पिता के साथ अच्छा व्यवहार करने की फ़ज़ीलतें,,فضيلت هاى نيكى با پدر و مادر,ለወላጆች መልካም የመዋል ትሩፋቶች,Valideyinlərə yaxşılıq etməyin fəziləti,Vrijednosti dobročinstva prema roditeljima,Přednosti(užitek) dobrého chování k rodičům,Falalar bin Iyaye,فەزڵی چاکەکاری بەرامبەر دایک وباوک,De deugden van het gehoorzamen van ouders,د مور او پلار سره د نیکۍ کولو فضیلتونه,Meritele ascultării părinților,දෙමාපියන්ට ඇප උපස්ථාන කිරීමේ මහිමයන්,Fadliga labada waalid oo loo baari noqdo,,Dygden av att vara god mot föräldrarna,Ubora wa:Kuwatendea Wema wazazi wawili:,,ความประเสริฐของการทำดีต่อพ่อแม่,ئاتا-ئاىغا ياخشىلىق قىلىشنىڭ پەزىلىتى,,Ân phúc của việc hiếu thảo với cha mẹ,Awọn ọla ti n bẹ fun ṣiṣe daadaa si awọn obi mejeeji,merits-of-being-dutiful-to-one's-parents-en
274,265,فضائل صلة الأرحام,Merits of Maintaining Kinship Ties,আত্মীয়তার সম্পর্ক রক্ষা করার ফযীলত,"Die besondere Bedeutung darin, die Beziehungen zu den Verwandten zu pflegen",La virtud de visitar a los parientes.,Des mérites d'entretenir les liens de parenté,Keutamaan Silaturahmi,കുടുംബബന്ധം ചേർക്കുന്നതിൻ്റെ ശ്രേഷ്ഠതകൾ,Virtudes de relação de parentesco,Достоинства поддержания родственных уз,குடும்ப உறவைச் சேர்ந்து நடப்பதன் சிறப்பு,Akrabalık İlişkilerinin Faziletleri,صلہ رحمی کے فضائل,接续骨肉的尊贵,रिश्तों-नातों को निभाने की फ़ज़ीलतें,I meriti del mantenimento dei legami familiari,فضيلت هاى صله رحم,ዝምድናን የመቀጠል ትሩፋቶች,Qohumluq əlaqələrinin birləşdirməyin fəziləti,Vrijednost održavanja rodbinskih veza,Přednosti(užitek) udržování rodinných vztahů,Falalar Sadar da zumunci,فەزڵی گەیاندنی پەیوەندی خزمایەتی,De deugden van het onderhouden van familiebanden,د صله رحمۍ فضیلت,Meritele păstrării relației cu rudele de sânge,ඥාතී සබඳකම් පැවත්වීමේ මහිමයන්,Fadliga Qaraabo xiriirinta,Vlera mbajtjes së lidhjeve farefisnore,Dygden av att upprätthålla släktbanden,Ubora wa kuunga udugu.,Фазоили силаи раҳм,ความประเสริฐของการเชื่องสัมพันธ์ทางเครือญาติ,ئۇرۇق-تۇغقانلارغا ياخشىلىق قىلىشنىڭ پەزىلىتى,Силаи раҳм фазли,Ân phúc của việc hàn gắn dòng tộc,Awọn ọla ti n bẹ fun dida ebi pọ,merits-of-maintaining-kinship-ties-en
275,265,فضائل آل البيت رضي الله عنهم,Merits of Prophet's Family,নবী পরিবার/আহলে বাইত-রাদিয়াল্লাহু আনহুম-এর ফযীলত,Merits of Prophet's Family,"Las virtudes de Ahlu al-Bait, que Al-lah esté con ellos.",Des mérites de la famille du Prophète (qu'Allah les agrée),Keutamaan Ahlul Bait -raḍiyallāhu 'anhum-,,Virtudes de familiares do Profeta,Достоинства членов семьи Пророка ﷺ,,Ehl-i Beyt'in -radıyallahu anhum- Faziletleri,اہل بیت رضی اللہ عنہم کے فضائل,圣眷-愿主喜悦之-的尊贵,आल-ए-बैत रज़ियल्लाहु अनहुम की फ़ज़ीलतें,,فضيلت هاى آل بيت رضى الله عنهم,,,Odlike Poslanikove porodice,,Falalar Ahlulbaiti -Allah ya yarda da su-,فەزڵی ئەهلی بەیت (بنەماڵە وخێزانەکانی پێغەمبەر ﷺ) -ڕەزای خوایان لێبێت-,,,,නබි තුමාගේ පෙළපත හා බැඳුණු මහිමයන් (අල්ලාහ්ගේ තෘප්තිය ඔවුනට අත් වේවා),,,,Ubora wa watu wa nyumba ya mtume Radhi za Allah ziwe juu yao.,,,,,Ân phúc của gia quyến Thiên Sứ - cầu xin Allah hài lòng về họ -,,merits-of-prophet's-family-en
276,265,فضائل الصحابة رضي الله عنهم,Merits of the Companions,সাহাবীগণের ফযীলত,Die besondere Bedeutung der Sahaba - der Gefährten des Propheten,"Las virtudes de los sahabas, que Al-lah esté complacido de ellos.",Des mérites des compagnons (qu'Allah les agrée),Keutamaan Sahabat -raḍyallāhu 'anhum-,സ്വഹാബികളുടെ ശ്രേഷ്ഠതകൾ,A virtude dos companheiros do Profeta,Достоинства сподвижников Пророка ﷺ,நபித்தோழர்களின் சிறப்புகள்,Sahabenin -radıyallahu anhum- Faziletleri,صحابہ رضی اللہ عنہم کے فضائل,圣门弟子-愿主喜悦之-的尊贵,सहाबा रज़ियल्लाहु अनहुम की फ़ज़ीलतें,,فضيلت هاى صحابه رضى الله عنهم,የሶሐቦች (ረዺየሏሁ ዐንሁም) - አላህ መልካም ሥራቸውን ይውደድላቸውና ትሩፋቶች,Səhabələrin (Allah onlardan razı olsun) fəziləti,Vrijednost ashaba,Přednosti Sahába (druhů Proroka),Falalar Sahabbai -Allah yayarda da su-,فەزڵی هاوەڵان -ڕەزای خوایان لێبێت-,De deugden van metgezellen van de profeet (vrede zij met hen),د صحابه کرامو - رضي الله عنهم - فضیلتونه,Meritele Companionilor Profetului,සහගාමී මිතුරන්ගේ මහිමයන් (අල්ලාහ් ඔවුන් පිළිබඳ තෘප්තියට පත් විය),Faliga Saxaabada Allaha ka raali noqdee,Vlerat e sahabëve (Allahu qoftë i kënaqur me ta),Följeslagarnas dygder,Ubora wa Maswahaba Radhi za Mwenyezi Mungu ziwe juu yao.,Фазоили саҳоба (Худованд аз онҳо розӣ бод),ความประเสริฐของบรรดาเศาะฮาบะฮ์ เราะดิยัลลอฮุอันฮุม,ساھابىلارنىڭ پەزىلىتى,Саҳобалар фазли,Ân phúc của Sahabah - cầu xin Allah hài lòng về họ -,Awọn ọla ti n bẹ fun awọn saabe - ki Ọlọhun yọnu si wọn,merits-of-the-companions-en
277,265,فضائل الأعمال الصالحة,Merits of Good Deeds,সৎকাজের ফযীলত,Die besondere Bedeutung guter Taten,Las virtudes de las buenas acciones.,Des mérites des œuvres pieuses,Keutamaan Amal Saleh,സൽക്കർമ്മങ്ങളുടെ ശ്രേഷ്ഠതകൾ,Virtudes das ações virtuosas,Достоинства добрых деяний,நல்லமல்களின் சிறப்புகள்,Salih Amellerin Faziletleri,نیک اعمال کے فضائل,廉洁工作的尊贵,सुकर्मों की फ़ज़ीलतें,I meriti delle buone opere,فضيلت هاى نيكوكارى,የመልካም ስራዎች ትሩፋቶች,Saleh əməllərin fəziləti,Vrijednost dobrih djela,Přednosti(užitek) dobrých skutků,Falalar Ayyuka na qwarai,فەزڵی کردەوە چاکەکان,De deugden van goede daden,د نیکو عملونو فضیلونه,Meritele faptelor bune,යහපත් ක්රියාවන් හා බැඳුණු මහිමයන්,Fadliga Camalka Saalixa ah,Vlera e punëve të mira,Dygden av att utföra goda handlingar,Ubora na fadhila za matendo mema.,Фазоили амалҳои нек,ความประเสริฐของการงานที่ดี,ياخشى ئەمەللەرنىڭ پەزىلىتى,Солих амаллар фазли,Ân phúc của việc hành thiện,Awọn ọla ti n bẹ fun awọn iṣẹ rere,merits-of-good-deeds-en
278,265,فضائل الذكر,Merits of Remembering Allah,যিকিরের ফযীলত,Die besondere Bedeutung Allah zu gedenken,La virtud de la invocación.,Des mérites du rappel (Fadhâ'il Ad Dhikr),Keutamaan Zikir,അല്ലാഹുവിനെ സ്മരിക്കുന്നതിൻ്റെ ശ്രേഷ്ഠത,Virtudes de recordação à ALLAH,Достоинства поминания Аллаха,திக்ரின் சிறப்புகள்,Zikrin Faziletleri,ذکر کے فضیلت,念颂真主的尊贵,ज़िक्र की फ़ज़ीलतें,I meriti della menzione di Allah,فضيلت هاى ذكر,የዚክር ትሩፋቶች,Zikrin fəzilətləri,Vrijednost zikra,Přednosti(užitek) Dhikru,Falalar Zikiri,فەزڵی زیکر کردن,De deugden van het gedenken van Allah,د ذکر فضیلت,Meritele pomenirii lui Allah,(දික්ර්) තෙපලීම් හා බැඳුණු මහිමයන්,Fadliga Dikriga,Vlera e dhikrit,Dygden av att minnas Allah,Fadhila za Adh-kaar.,Фазоили зикр,ความประเสริฐของการรำลึกถึงอัลลอฮฺ,زىكىرنىڭ پەزىلىتى,Зикр фазли,Ân phúc của việc tụng niệm,Awọn ọla ti n bẹ fun iranti,merits-of-remembering-allah-en
279,265,فضل الدعاء,Merits of Supplication,দো‘আর ফযীলত,Die besondere Bedeutung von Bittgebeten,La virtud del du’a (súplica).,Des mérites de l'invocation (Fadhâ'il Ad Du'â'),Keutamaan Doa,പ്രാർത്ഥനയുടെ മഹത്വം,Virtudes da prece,Достоинство обращения к Аллаху с мольбами,பிரார்த்தனையின் சிறப்புகள்,Duanın Fazileti,دعا کی فضیلت,祈祷的尊贵,दुआ की फ़ज़ीलतें,Il merito dell'invocazione,فضيلت دعا,የዱዓእ ትሩፋቶች,Duanın fəziləti,Vrijednost dove,Přednosti(užitek) proseb(Dua),Falalar Addu'a,فەزڵی نزا کردن,De verdiensten van smeekbeden,د دعا فضیلت,Meritele rugilor,(දුආ) ප්රාර්ථනාව හා බැඳුණු මහිමයන්,Faliga Ducada,Vlera e duasë,Dygden av att åkalla Allah,Fadhila za Dua.,Фазилати дуо,ความประเสริฐของการขอดุอาอฺ,دۇئانىڭ پەزىلىتى,Дуо фазли,Ân phúc của việc cầu nguyện,Ọla ti nbẹ fún adua,merits-of-supplication-en
280,265,فضائل أعمال القلوب,Merits of Heart Acts,অন্তরের আমলের ফযীলত,Die besondere Bedeutung der Taten mit dem Herz,La virtud de las obras del corazón.,Des mérites des oeuvres du coeur,Keutamaan Amalan Hati,ഹൃദയത്തിലെ പ്രവർത്തനങ്ങളുടെ ശ്രേഷ്ഠതകൾ,Virtudes de ações do coração,Достоинства деяний сердца,உள செயற்பாடுகளின் சிறப்புகள்,Kalp Amellerinin Faziletleri,قلبی اعمال کے فضائل,内心功课的尊贵,दिल से संबंधित कर्मों की फ़ज़ीलतें,I meriti delle opere del cuore,فضيلت هاى اعمال قلبى,የቀልብ ተግባራት ትሩፋቶች,Qəlb əməllərinin fəzilətləri,Vrijednost srčanih djela,Přednosti(užitek) činů srdce(duševních),Falalar Ayyukan Zukata,فەزڵی کردەوەکانی دڵ,De deugden van de handelingen van het hart,د زړونو د أعمالو فضیلت,Meritele acțiunilor inimii,සිත හා බැඳුණු ක්රියාවන්හි මහිමයන්,Fadliga camalka Qalbiga,Vlera e veprave të zemrës,Dygden av hjärtats handlingar,Fadhila za matendo ya moyoni.,Фазоили амалҳои дил,ความประเสริฐของการงานของหัวใจ,قەلىب ئەمەللىرىنىڭ پەزىلىتى,Қалб амларри фазли,Ân phúc hành động của nội tâm,Awọn ọla ti n bẹ fun awọn iṣẹ awọn ọkan,merits-of-heart-acts-en
281,265,فضائل أعمال الجوارح,Merits of Organs' Acts,অঙ্গ-প্রত্যঙ্গের আমলের ফযীলত,Die besondere Bedeutung der körperlichen Taten,La virtud de las obras del cuerpo.,Des mérites des oeuvres des membres,Keutamaan Amalan Anggota Badan,ശരീരായവങ്ങൾ കൊണ്ടുള്ള പ്രവർത്തനങ്ങളുടെ ശ്രേഷ്ഠതകൾ,Virtudes de ações do coração,Достоинства деяний частей тела,உடல் செயற்பாடுகளின் சிறப்புகள்,Azalarla Yapılan Amellerin Faziletleri,اعضاء کے اعمال کے فضائل,身体功课的尊贵,शरीर के विभिन्न अंगों से होने वाले कर्मों से फ़ज़ीलत,I meriti delle opere fisiche,فضيلت هاى اعمال ظاهرى,የአካል ተግባራት ትሩፋቶች,Əzalarla edilən əməllərin fəziləti,Vrijednost djela koja se čine udovima,Přednosti(užitek) fyzických činů,Falalar Ayyukan Gavvai,فەزڵی کردەوەکانی لاشە (کردەوەکانی ئەندامەکان),De deugden van fysieke daden,په اندامونو د عملونو فضیلت,Meritele acțiunilor trupului,කය හා බැඳුණු ක්රියාවන්හි මහිමයන්,Fadliga Camalka Xubnaha,Vlera e veprave të gjymtyrëve,Dygden av kroppens handlingar,fadila za matendo ya viungo.,Фазоили амалҳои зоҳирӣ,ความประเสริฐของการงานของอวัยวะ,بەدەن ئەمەللىرىنىڭ پەزىلىتى,Тана билан бажарилган амаллар фазли,Ân phúc hành động của thể xác,Awọn ọla ti n bẹ fun awọn iṣẹ awọn orikerike ara,merits-of-organs'-acts-en
282,266,الأخلاق الحميدة,Praiseworthy Morals,প্রশংসিত চরিত্রসমূহ,Gute Charaktereigenschaften,Los comportamiento loables.,Les caractères louables,Akhlak Terpuji,സ്തുത്യർഹമായ സ്വഭാവഗുണങ്ങൾ,Comportamentos súblimes,Похвальные морально-нравственные качества,நற்குணங்கள்,Övülen Ahlak,اخلاقِ حمیدہ/ اچھے اخلاق,美德,सरहनायोग्य आचरण,Le lodevoli maniere,اخلاق پسندیده,ምስጉን ስነ-ምግባር,Gözəl əxlaq,Pohvalne vrline,Dobré mravy,Kyawawan Halaye,ڕەوشتە جوانەکان,Goede morele eigenschappen,ستایل شوي أخلاق,Calități morale alese,ප්රශංසනීය සාරධර්ම,Akhlaaqda wanaagsan,Virtytet e larta,Prisvärda egenskaper,Tabia njema.,Ахлоқи писандида,มารยาทดีงามที่น่าชื่นชม,گۈزەل ئەخلاقلار,Мақталаган ахлоқлар,Các đức tính đáng khen,Awọn iwa ẹyin,praiseworthy-morals-en
